,0
105," Si lorsque Nicolas Sarkozy, il y a quinze jours, annonce que bien entendu la Banque Centrale Européenne ne pourra intervenir -et il dit la vérité -que lorsqu'on aura rétabli les comptes du pays, et quand hier il dit : « pas du tout, maintenant je vais prendre la tête pour que la Banque Centrale Européenne oublie cette question des équilibres et se lance dans des politiques de financement d'activités ou d'investissements dans le pays », est-ce que il y a quinze jours il ignorait la situation de la France et de l'Europe et la nature de la Banque Centrale Européenne ou est-ce une révélation qui tout d'un coup l'aurait frappé pendant la nuit entre samedi et dimanche ? Je ne sais pas"
106," Et de ces changements de pied, François Hollande lui-même est coutumier, je ne suis pas là pour en faire la liste, je m'inquiète parfois mais en vérité je crois qu'ils sont parfaitement au courant, ils savent exactement ce dont il s'agit"
107," Après tout, ils ont fait des études, ils ont des experts, des collaborateurs par centaines et par milliers, ils ont beaucoup de moyens pour financer des études et des études encore, donc ils doivent savoir ce dont il s'agit"
108," Mais on leur a expliqué que le plus rentable électoralement, le plus rentable pour les sondages, pour gagner des points, pour qu’on soit crédité d'avoir progressé au lieu d'avoir régressé, que le plus rentable était de raconter aux Français des balivernes parce que, ainsi, avec ces balivernes, les Français seraient satisfaits de ne rien connaître de la situation de leur pays et qu'ils adhéreraient à celui qui leur raconte des sornettes"
109," Tout l'engagement de ma vie, c'est qu'il faut au contraire que nous placions devant nos yeux de citoyens les vrais enjeux et que nous répondions aux vrais enjeux"
110," Alors je vais vous dire, ayant compris que la situation de notre pays était le résultat de décisions qui avaient été prises chez nous, à l'intérieur de nos frontières, par les pouvoirs publics chez nous, ou plus exactement et plus souvent que la situation de notre pays était le résultat de décisions qui n'avaient pas été prises comme elles auraient dû l'être ou au moment où elles auraient dû l'être dans notre pays, alors j'ai décidé de présenter aux Français un projet dans lequel champ de bataille par champ de bataille nous allions nous remettre à livrer le combat nécessaire pour qu’on sorte de la situation dans laquelle on se trouve"
111," Et après tout c’est ce que nos voisins ont fait il y a quelques années à peine -je disais tout à l'heure : 2005, on était en excédent- en 2005 l'Allemagne était derrière nous et comme nous avons pris le toboggan, ils ont pris l'ascenseur ; et c'est par une décision politique qui a été prise d'ailleurs, on verra ainsi la différence des cultures entre l'autre côté du Rhin et le nôtre, par un gouvernement socialiste qui a décidé, ce qui est notre conviction à nous, qu'il fallait s'en sortir, autrement que l'Allemagne allait craquer et donc il fallait faire des efforts décidés tous ensemble"
112, Oh ! Ne croyez pas que ces efforts soient inatteignables
113," Je n'aime pas du tout quand les journalistes me disent : ""Alors Monsieur Bayrou, vous vous proposez l'austérité ?"" Non !!! je propose le redressement ! ""Vous proposez peut-être du sang et des larmes, comment peut-on être élu en proposant du sang et des larmes ?"" Non !!! le sang et les larmes c'est maintenant ! Le sang et les larmes pour une famille, c'est quand il n'y a pas d'espoir pour les enfants"
114," Cela c'est le sang et les larmes ! Le sang et les larmes et l'inquiétude pour les retraités, c'est quand ils doutent qu'on puisse payer leur retraite de la manière qu'on leur a promise pendant longtemps"
115," Cela c'est du sang et des larmes ! Moi je dis que l'espoir et l'optimisme et la volonté et l'envie, c'est quand un peuple sait où il va et qu'il décide sereinement, calmement, de faire les efforts et les efforts justes nécessaires pour que tout le pays s'en sorte"
116," 1025 Ça c'est de l'optimisme, ça c'est de l'espoir ! C'est même la seule chose qui soit de l'espoir et la seule chose qui soit de l'optimisme ! Au fond, c'est le seul programme optimiste et d'espérance que l'on puisse défendre devant les Français que celui qui leur propose les efforts justes nécessaires pour s'en sortir"
117," Et alors, si je reprends l'impératif que j'ai énoncé devant vous au début de cette intervention : « emploi, emploi, emploi ! », alors je regarde chacun des secteurs du pays, et je pourrais multiplier les exemples, et je m'aperçois que, dans la plupart des secteurs où nous avons perdu la bataille, il y a des gisements d'emplois absolument considérables pour les Français"
118," Quand je compare aux pays qui nous entourent, pardon pour ceux qui m'ont déjà entendu le dire, mais je vais reprendre en quelques phra ses l'exemple de la filière bois, de la forêt française"
119," La France est le pays qui a la plus grande forêt de notre partie de l'Europe, seize millions d'hectares"
120," Les Allemands ont onze millions d'hectares, avec les mêmes conditions de production exactement que nous"
121, Nous avec seize millions d'hectares nous avons 400 000 emplois et un déficit commercial de 7 milliards d'euros par an
122," Seize millions / 400 000 emplois, onze millions d'hectares / 800 000 emplois !"
123," Et si nous faisons une règle de trois -vous reconnaîtrez là le président, le seul adhérent, le fondateur de l'association française pour la défense du calcul mental !- alors nous nous apercevons que, s'ils ont 800 000 emplois avec onze millions d'hectares, nous avec seize millions nous devrions avoir 1 200 000 emplois dans la filière bois, et pas de déficit commercial du pays ! Pourquoi, qu’est-ce qui s’est passé ? Ils n’ont pas des arbres meilleurs que les nôtres, ils n’ont pas de plus belles forêts que les nôtres ? J’imagine que les forestiers allemands ne sont pas plus intelligents que les forestiers français, mais c’est écologiquement très important, vous avez raison de le dire, je ne sais pas qui a dit cela"
124," levez le doigt, Madame vous avez absolument raison, je vais vous en fournir la preuve ! L’an dernier, sur seize millions d’hectares, nous avons planté à peine trois arbres par hectare, quarante-sept millions d’arbres"
125," Les Allemands, avec onze millions d’hectares seulement ont planté l’an dernier quatre cent cinquante millions d’arbres, et les Polonais ont planté un milliard d’arbres"
126," Or il se trouve, et c’est un enjeu écologique absolument majeur, vous avez raison, que les arbres sont le seul outil dont nous disposons pour capter dans l’atmosphère les gaz à effet de serre, le CO², le gaz carbonique, le carbone qui est dans l’air, et pour en faire de la matière vivante, du bois"
127," Et c’est d’autant plus important ce que vous dites que c’est l’arbre qui prend le plus de CO² dans l’atmosphère, le puits à carbone le plus efficace, celui qui nous débarrasse le plus des gaz à effet de serre, c’est l’arbre le plus jeune"
128," Parce que comme un être humain dans son enfance et dans son adolescence, c’est là qu’il a le taux de croissance le plus important, c’est là qu’il grandit le plus, c’est là qu’il a besoin de se nourrir le plus"
129," Et nous qui sommes un pays soi-disant qui prétend être en pointe, nous sommes nuls économiquement, nuls écologiquement en matière de plantation d’arbres"
130," Vous voyez que ce n’est pas de la politique politicienne, ce n’est pas n’est pas de la politique de parti ! Je ne défends pas une étiquette, une idéologie, je défends du réel, du concret, du solide, du vital, du vivant pour les Français ! Qu’ont fait les Allemands en 2004 ? Ils ont dit : on a une belle forêt -pas tout à fait comme la forêt française mais quand même, ils sont parfois un peu chauvins aussi- ils ont dit on va faire un plan forêt, un plan bois, on va mettre autour de la table tous les acteurs de la filière bois allemande et on va voir comment on peut la développer"
131," Et ils ont fait en particulier quelque chose que nous n’avons pas su faire en France, ils ont coordonné les propriétaires"
132," Les trois-quarts de la forêt française sont des propriétaires privés, et un quart c’est la forêt domaniale"
